"","index","id","name","date","record_identifier","status_of_system","maximum_sustained_wind_knots","maximum_pressure","year.x","anomaly"
"1",43716,"AL012005","ARLENE",2005-06-08,"","TS",25,1004,2005,0.67447
"2",43717,"AL012005","ARLENE",2005-06-09,"","TS",30,1003,2005,0.67447
"3",43718,"AL012005","ARLENE",2005-06-09,"","TS",35,1003,2005,0.67447
"4",43719,"AL012005","ARLENE",2005-06-09,"","TS",35,1002,2005,0.67447
"5",43720,"AL012005","ARLENE",2005-06-09,"","TS",35,1002,2005,0.67447
"6",43721,"AL012005","ARLENE",2005-06-10,"","TS",40,1001,2005,0.67447
"7",43722,"AL012005","ARLENE",2005-06-10,"","TS",45,1000,2005,0.67447
"8",43723,"AL012005","ARLENE",2005-06-10,"L","TS",45,1000,2005,0.67447
"9",43724,"AL012005","ARLENE",2005-06-10,"","TS",50,1000,2005,0.67447
"10",43725,"AL012005","ARLENE",2005-06-10,"","TS",55,995,2005,0.67447
"11",43726,"AL012005","ARLENE",2005-06-11,"","TS",60,990,2005,0.67447
"12",43727,"AL012005","ARLENE",2005-06-11,"I","TS",60,989,2005,0.67447
"13",43728,"AL012005","ARLENE",2005-06-11,"","TS",60,993,2005,0.67447
"14",43729,"AL012005","ARLENE",2005-06-11,"","TS",55,990,2005,0.67447
"15",43730,"AL012005","ARLENE",2005-06-11,"","TS",50,991,2005,0.67447
"16",43731,"AL012005","ARLENE",2005-06-11,"L","TS",50,991,2005,0.67447
"17",43732,"AL012005","ARLENE",2005-06-12,"","TS",30,994,2005,0.67447
"18",43733,"AL012005","ARLENE",2005-06-12,"","TS",25,998,2005,0.67447
"19",43734,"AL012005","ARLENE",2005-06-12,"","TS",20,1003,2005,0.67447
"20",43735,"AL012005","ARLENE",2005-06-12,"","TS",20,1005,2005,0.67447
"21",43736,"AL012005","ARLENE",2005-06-13,"","TS",20,1006,2005,0.67447
"22",43737,"AL012005","ARLENE",2005-06-13,"","TS",20,1006,2005,0.67447
"23",43738,"AL012005","ARLENE",2005-06-13,"","TS",20,1005,2005,0.67447
"24",43739,"AL012005","ARLENE",2005-06-13,"","TS",20,1005,2005,0.67447
"25",43740,"AL012005","ARLENE",2005-06-14,"","TS",20,1003,2005,0.67447
"26",43741,"AL012005","ARLENE",2005-06-14,"","TS",20,1001,2005,0.67447
"27",43742,"AL022005","BRET",2005-06-28,"","TS",30,1006,2005,0.67447
"28",43743,"AL022005","BRET",2005-06-28,"I","TS",35,1002,2005,0.67447
"29",43744,"AL022005","BRET",2005-06-29,"","TS",35,1005,2005,0.67447
"30",43745,"AL022005","BRET",2005-06-29,"","TS",35,1005,2005,0.67447
"31",43746,"AL022005","BRET",2005-06-29,"L","TS",35,1005,2005,0.67447
"32",43747,"AL022005","BRET",2005-06-29,"","TS",25,1007,2005,0.67447
"33",43748,"AL022005","BRET",2005-06-30,"","TS",25,1008,2005,0.67447
"34",43749,"AL032005","CINDY",2005-07-03,"","TS",30,1009,2005,0.72063
"35",43750,"AL032005","CINDY",2005-07-04,"","TS",30,1007,2005,0.72063
"36",43751,"AL032005","CINDY",2005-07-04,"L","TS",30,1007,2005,0.72063
"37",43752,"AL032005","CINDY",2005-07-04,"","TS",30,1007,2005,0.72063
"38",43753,"AL032005","CINDY",2005-07-04,"","TS",25,1011,2005,0.72063
"39",43754,"AL032005","CINDY",2005-07-04,"","TS",30,1010,2005,0.72063
"40",43755,"AL032005","CINDY",2005-07-05,"","TS",30,1009,2005,0.72063
"41",43756,"AL032005","CINDY",2005-07-05,"","TS",35,1009,2005,0.72063
"42",43757,"AL032005","CINDY",2005-07-05,"","TS",45,1002,2005,0.72063
"43",43758,"AL032005","CINDY",2005-07-05,"","TS",60,997,2005,0.72063
"44",43759,"AL032005","CINDY",2005-07-06,"","HU",65,992,2005,0.72063
"45",43760,"AL032005","CINDY",2005-07-06,"L","HU",65,991,2005,0.72063
"46",43761,"AL032005","CINDY",2005-07-06,"","TS",50,994,2005,0.72063
"47",43762,"AL032005","CINDY",2005-07-06,"L","TS",45,995,2005,0.72063
"48",43763,"AL032005","CINDY",2005-07-06,"","TS",40,998,2005,0.72063
"49",43764,"AL032005","CINDY",2005-07-06,"","TS",30,1000,2005,0.72063
"50",43765,"AL032005","CINDY",2005-07-07,"","TS",25,1004,2005,0.72063
"51",43766,"AL032005","CINDY",2005-07-07,"","TS",20,1008,2005,0.72063
"52",43767,"AL032005","CINDY",2005-07-07,"","TS",20,1009,2005,0.72063
"53",43768,"AL032005","CINDY",2005-07-07,"","TS",20,1010,2005,0.72063
"54",43769,"AL032005","CINDY",2005-07-08,"","TS",20,1010,2005,0.72063
"55",43770,"AL032005","CINDY",2005-07-08,"","TS",20,1010,2005,0.72063
"56",43771,"AL032005","CINDY",2005-07-08,"","TS",25,1009,2005,0.72063
"57",43772,"AL032005","CINDY",2005-07-08,"","TS",25,1009,2005,0.72063
"58",43773,"AL032005","CINDY",2005-07-09,"","TS",25,1009,2005,0.72063
"59",43774,"AL032005","CINDY",2005-07-09,"","TS",25,1009,2005,0.72063
"60",43775,"AL032005","CINDY",2005-07-09,"","TS",30,1007,2005,0.72063
"61",43776,"AL032005","CINDY",2005-07-09,"","TS",30,1006,2005,0.72063
"62",43777,"AL032005","CINDY",2005-07-10,"","TS",30,1006,2005,0.72063
"63",43778,"AL032005","CINDY",2005-07-10,"","TS",30,1006,2005,0.72063
"64",43779,"AL032005","CINDY",2005-07-10,"","TS",25,1006,2005,0.72063
"65",43780,"AL032005","CINDY",2005-07-10,"","TS",20,1006,2005,0.72063
"66",43781,"AL032005","CINDY",2005-07-11,"","TS",20,1006,2005,0.72063
"67",43782,"AL032005","CINDY",2005-07-11,"","TS",20,1006,2005,0.72063
"68",43783,"AL042005","DENNIS",2005-07-04,"","TS",25,1010,2005,0.72063
"69",43784,"AL042005","DENNIS",2005-07-04,"L","TS",30,1010,2005,0.72063
"70",43785,"AL042005","DENNIS",2005-07-05,"","TS",30,1009,2005,0.72063
"71",43786,"AL042005","DENNIS",2005-07-05,"","TS",30,1008,2005,0.72063
"72",43787,"AL042005","DENNIS",2005-07-05,"","TS",35,1007,2005,0.72063
"73",43788,"AL042005","DENNIS",2005-07-05,"","TS",40,1005,2005,0.72063
"74",43789,"AL042005","DENNIS",2005-07-06,"","TS",45,1000,2005,0.72063
"75",43790,"AL042005","DENNIS",2005-07-06,"","TS",50,995,2005,0.72063
"76",43791,"AL042005","DENNIS",2005-07-06,"","TS",55,991,2005,0.72063
"77",43792,"AL042005","DENNIS",2005-07-06,"","TS",60,989,2005,0.72063
"78",43793,"AL042005","DENNIS",2005-07-07,"","HU",70,982,2005,0.72063
"79",43794,"AL042005","DENNIS",2005-07-07,"","HU",80,972,2005,0.72063
"80",43795,"AL042005","DENNIS",2005-07-07,"","HU",90,967,2005,0.72063
"81",43796,"AL042005","DENNIS",2005-07-07,"","HU",100,957,2005,0.72063
"82",43797,"AL042005","DENNIS",2005-07-08,"","HU",120,951,2005,0.72063
"83",43798,"AL042005","DENNIS",2005-07-08,"L","HU",120,956,2005,0.72063
"84",43799,"AL042005","DENNIS",2005-07-08,"","HU",110,953,2005,0.72063
"85",43800,"AL042005","DENNIS",2005-07-08,"","HU",130,938,2005,0.72063
"86",43801,"AL042005","DENNIS",2005-07-08,"","HU",120,941,2005,0.72063
"87",43802,"AL042005","DENNIS",2005-07-08,"L","HU",120,941,2005,0.72063
"88",43803,"AL042005","DENNIS",2005-07-09,"","HU",100,960,2005,0.72063
"89",43804,"AL042005","DENNIS",2005-07-09,"","HU",75,973,2005,0.72063
"90",43805,"AL042005","DENNIS",2005-07-09,"","HU",80,967,2005,0.72063
"91",43806,"AL042005","DENNIS",2005-07-09,"","HU",90,962,2005,0.72063
"92",43807,"AL042005","DENNIS",2005-07-10,"","HU",110,942,2005,0.72063
"93",43808,"AL042005","DENNIS",2005-07-10,"","HU",125,935,2005,0.72063
"94",43809,"AL042005","DENNIS",2005-07-10,"","HU",120,930,2005,0.72063
"95",43810,"AL042005","DENNIS",2005-07-10,"","HU",110,942,2005,0.72063
"96",43811,"AL042005","DENNIS",2005-07-10,"L","HU",105,946,2005,0.72063
"97",43812,"AL042005","DENNIS",2005-07-11,"","TS",45,970,2005,0.72063
"98",43813,"AL042005","DENNIS",2005-07-11,"","TS",30,991,2005,0.72063
"99",43814,"AL042005","DENNIS",2005-07-11,"","TS",25,997,2005,0.72063
"100",43815,"AL042005","DENNIS",2005-07-11,"","TS",20,1002,2005,0.72063
"101",43816,"AL042005","DENNIS",2005-07-12,"","TS",20,1003,2005,0.72063
"102",43817,"AL042005","DENNIS",2005-07-12,"","TS",15,1005,2005,0.72063
"103",43818,"AL042005","DENNIS",2005-07-12,"","TS",15,1007,2005,0.72063
"104",43819,"AL042005","DENNIS",2005-07-12,"","TS",15,1008,2005,0.72063
"105",43820,"AL042005","DENNIS",2005-07-13,"","TS",15,1009,2005,0.72063
"106",43821,"AL042005","DENNIS",2005-07-13,"","TS",15,1010,2005,0.72063
"107",43822,"AL042005","DENNIS",2005-07-13,"","TS",15,1010,2005,0.72063
"108",43823,"AL042005","DENNIS",2005-07-13,"","TS",15,1010,2005,0.72063
"109",43824,"AL042005","DENNIS",2005-07-14,"","TS",10,1009,2005,0.72063
"110",43825,"AL042005","DENNIS",2005-07-14,"","TS",10,1009,2005,0.72063
"111",43826,"AL042005","DENNIS",2005-07-14,"","TS",10,1010,2005,0.72063
"112",43827,"AL042005","DENNIS",2005-07-14,"","TS",10,1010,2005,0.72063
"113",43828,"AL042005","DENNIS",2005-07-15,"","TS",10,1009,2005,0.72063
"114",43829,"AL042005","DENNIS",2005-07-15,"","TS",10,1010,2005,0.72063
"115",43830,"AL042005","DENNIS",2005-07-15,"","TS",10,1012,2005,0.72063
"116",43831,"AL042005","DENNIS",2005-07-15,"","TS",10,1012,2005,0.72063
"117",43832,"AL042005","DENNIS",2005-07-16,"","TS",10,1011,2005,0.72063
"118",43833,"AL042005","DENNIS",2005-07-16,"","TS",10,1013,2005,0.72063
"119",43834,"AL042005","DENNIS",2005-07-16,"","TS",10,1013,2005,0.72063
"120",43835,"AL042005","DENNIS",2005-07-16,"","TS",10,1014,2005,0.72063
"121",43836,"AL042005","DENNIS",2005-07-17,"","TS",10,1013,2005,0.72063
"122",43837,"AL042005","DENNIS",2005-07-17,"","TS",10,1013,2005,0.72063
"123",43838,"AL042005","DENNIS",2005-07-17,"","TS",10,1013,2005,0.72063
"124",43839,"AL042005","DENNIS",2005-07-17,"","TS",10,1012,2005,0.72063
"125",43840,"AL042005","DENNIS",2005-07-18,"","TS",10,1010,2005,0.72063
"126",43841,"AL042005","DENNIS",2005-07-18,"","TS",10,1009,2005,0.72063
"127",43842,"AL052005","EMILY",2005-07-11,"","TS",25,1010,2005,0.72063
"128",43843,"AL052005","EMILY",2005-07-11,"","TS",30,1009,2005,0.72063
"129",43844,"AL052005","EMILY",2005-07-11,"","TS",30,1009,2005,0.72063
"130",43845,"AL052005","EMILY",2005-07-11,"","TS",30,1007,2005,0.72063
"131",43846,"AL052005","EMILY",2005-07-12,"","TS",35,1006,2005,0.72063
"132",43847,"AL052005","EMILY",2005-07-12,"","TS",40,1005,2005,0.72063
"133",43848,"AL052005","EMILY",2005-07-12,"","TS",45,1004,2005,0.72063
"134",43849,"AL052005","EMILY",2005-07-12,"","TS",45,1004,2005,0.72063
"135",43850,"AL052005","EMILY",2005-07-13,"","TS",45,1003,2005,0.72063
"136",43851,"AL052005","EMILY",2005-07-13,"","TS",45,1003,2005,0.72063
"137",43852,"AL052005","EMILY",2005-07-13,"","TS",50,1003,2005,0.72063
"138",43853,"AL052005","EMILY",2005-07-13,"","TS",55,1003,2005,0.72063
"139",43854,"AL052005","EMILY",2005-07-14,"","HU",70,999,2005,0.72063
"140",43855,"AL052005","EMILY",2005-07-14,"","HU",75,991,2005,0.72063
"141",43856,"AL052005","EMILY",2005-07-14,"L","HU",75,989,2005,0.72063
"142",43857,"AL052005","EMILY",2005-07-14,"","HU",85,980,2005,0.72063
"143",43858,"AL052005","EMILY",2005-07-14,"","HU",100,971,2005,0.72063
"144",43859,"AL052005","EMILY",2005-07-15,"","HU",110,959,2005,0.72063
"145",43860,"AL052005","EMILY",2005-07-15,"","HU",115,952,2005,0.72063
"146",43861,"AL052005","EMILY",2005-07-15,"","HU",115,964,2005,0.72063
"147",43862,"AL052005","EMILY",2005-07-15,"","HU",95,969,2005,0.72063
"148",43863,"AL052005","EMILY",2005-07-16,"","HU",110,958,2005,0.72063
"149",43864,"AL052005","EMILY",2005-07-16,"","HU",120,953,2005,0.72063
"150",43865,"AL052005","EMILY",2005-07-16,"","HU",130,944,2005,0.72063
"151",43866,"AL052005","EMILY",2005-07-16,"","HU",135,937,2005,0.72063
"152",43867,"AL052005","EMILY",2005-07-17,"","HU",140,929,2005,0.72063
"153",43868,"AL052005","EMILY",2005-07-17,"","HU",135,940,2005,0.72063
"154",43869,"AL052005","EMILY",2005-07-17,"","HU",130,946,2005,0.72063
"155",43870,"AL052005","EMILY",2005-07-17,"","HU",125,948,2005,0.72063
"156",43871,"AL052005","EMILY",2005-07-18,"","HU",120,951,2005,0.72063
"157",43872,"AL052005","EMILY",2005-07-18,"","HU",115,955,2005,0.72063
"158",43873,"AL052005","EMILY",2005-07-18,"L","HU",115,955,2005,0.72063
"159",43874,"AL052005","EMILY",2005-07-18,"","HU",65,975,2005,0.72063
"160",43875,"AL052005","EMILY",2005-07-18,"","HU",65,984,2005,0.72063
"161",43876,"AL052005","EMILY",2005-07-19,"","HU",75,981,2005,0.72063
"162",43877,"AL052005","EMILY",2005-07-19,"","HU",80,980,2005,0.72063
"163",43878,"AL052005","EMILY",2005-07-19,"","HU",80,977,2005,0.72063
"164",43879,"AL052005","EMILY",2005-07-19,"","HU",85,959,2005,0.72063
"165",43880,"AL052005","EMILY",2005-07-20,"","HU",110,948,2005,0.72063
"166",43881,"AL052005","EMILY",2005-07-20,"","HU",110,944,2005,0.72063
"167",43882,"AL052005","EMILY",2005-07-20,"L","HU",110,944,2005,0.72063
"168",43883,"AL052005","EMILY",2005-07-20,"","TS",70,975,2005,0.72063
"169",43884,"AL052005","EMILY",2005-07-21,"","TS",45,995,2005,0.72063
"170",43885,"AL052005","EMILY",2005-07-21,"","TS",30,1000,2005,0.72063
"171",43886,"AL052005","EMILY",2005-07-21,"","TS",25,1007,2005,0.72063
